The `config-audit` ConfigMap has been created with a 14,678-byte `findings.txt`. Here's what the audit found (read-only — no changes made):

**Cluster health:** All 3 nodes running, no alarms, no partitions.

**15 findings across 5 HIGH / 5 MEDIUM / 5 LOW:**

| Severity | Finding |
|----------|---------|
| HIGH | No TLS on AMQP (port 5672) — credentials in cleartext |
| HIGH | Management API (15672) and Prometheus (15692) over plain HTTP |
| HIGH | PLAIN/AMQPLAIN auth mechanisms without TLS |
| HIGH | `ha-all` policy uses **deprecated** classic mirrored queues (removed in 4.x) |
| HIGH | Both queues declared as `classic` type (also removed in 4.x) |
| MEDIUM | RabbitMQ 3.12.14 is **out of support** |
| MEDIUM | Service accounts (`app-user`, `ops-user`) have `configure=.*` — too broad |
| MEDIUM | `admin` user has unrestricted access across all 3 vhosts |
| MEDIUM | `/ops` vhost has no HA policy — `ops-queue` has no mirror/quorum protection |
| MEDIUM | Inter-node clustering traffic (port 25672) unencrypted |
| LOW | Service accounts carry `management` tag unnecessarily |
| LOW | `ha-mode:all` causes 3× write amplification |
| LOW | Auth attempt source tracking disabled |
| LOW | No external auth backend (LDAP/OAuth2/mTLS) |
| LOW | Verify NetworkPolicy restricts management API port |
