All three replica set members are serving the new certificate. Certificate rotation is complete.

---

**Summary of what was done:**

| Step | Action |
|---|---|
| 1 | Extracted CA cert + key from `mongodb-tls-ca` secret onto `openssl-toolbox` |
| 2 | Generated new 2048-bit RSA server key + CSR with all original SANs (all 8 hostnames) |
| 3 | Signed with existing CA → new cert valid **Jun 12, 2026 → Jun 12, 2027** |
| 4 | Verified cert chains against CA (`openssl verify: OK`) |
| 5 | Updated `mongodb-tls-cert` secret's `server.pem` (cert + key combined) |
| 6 | `kubectl rollout restart` — StatefulSet restarted pods one-at-a-time (`maxUnavailable: 1`); replica set stayed up throughout (quorum maintained at 2/3) |
| 7 | Confirmed via live TLS handshake that all three pods present the new cert expiring 2027 |

The CA trust is unchanged — the new cert is signed by the same `CN=mongo-ca` CA.
