ConfigMap `config-audit` is created with a non-empty `findings.txt`. Here's a summary of what the audit found:

**Key findings:**

| Severity | Finding |
|----------|---------|
| **HIGH** | No CPU/memory resource requests or limits on `ray-head` or `ray-worker` — scheduler cannot govern placement or prevent OOM evictions |
| **MEDIUM** | Ray `2.9.0` image tag is not digest-pinned — node re-pulls could silently get a different layer |
| **MEDIUM** | `ray-client` pod is unmanaged (no Deployment/ReplicaSet owner) — won't auto-restart if evicted |
| LOW | Dashboard explicitly disabled (`--include-dashboard=false`) — reduces observability |
| LOW | Workers at minimum (1 replica) — no scale-up applied despite the task description suggesting it was expected |
| LOW | No custom ConfigMaps — runtime flags are baked into Deployment command strings |
| INFO | GCS port 6379 is correctly not exposed externally; only a ClusterIP service exists |

No changes were made to the cluster — all commands were read-only.
