Done. The ConfigMap `change-plan` exists in the `spark-pi` namespace with an 11,485-byte `plan.md` key, and the live cluster is unchanged (spark-master and spark-worker still running, spark-pi job still completed).

**What the plan covers:**

| # | Issue | Priority |
|---|---|---|
| 1 | Job uses `--master local[2]` — never connects to the deployed Spark cluster | Correctness |
| 2 | No `securityContext` on any pod/container — containers run as root | High |
| 3 | Image pinned by mutable tag, `imagePullPolicy: IfNotPresent` — supply chain risk | High |
| 4 | RBAC role overly permissive (delete/update on pods, configmaps, PVCs) | Medium |
| 5 | No `NetworkPolicy` — unrestricted ingress/egress | Medium |
| 6 | No `ResourceQuota` on the namespace | Low |
| 7 | `default` SA not patched with `automountServiceAccountToken: false` | Low |

The plan includes the current-state baseline, the exact manifest changes needed for each issue, a safe 9-step execution sequence ordered by blast radius, a pre-change checklist, rollback procedures for every step, and open questions for the team to resolve before the change window.
