The `config-audit` ConfigMap is created in the `demo` namespace with findings. No cluster resources were modified. Here's a summary of what the audit found:

**11 findings across 4 severity levels:**

| Sev | Finding |
|-----|---------|
| CRITICAL | `demo-app` runs as root (uid=0) — no securityContext set |
| HIGH | No Ingress resource exists — demo-app is not actually routed through ingress-nginx |
| HIGH | No resource limits on any workload — DoS risk |
| HIGH | Controller container has `readOnlyRootFilesystem: false` |
| MEDIUM | Contradictory `--watch-ingress-without-class` flags (both `true` and `false` present) — configuration drift |
| MEDIUM | `--publish-status-address=localhost` misreports external IP in Ingress status |
| MEDIUM | `externalTrafficPolicy: Cluster` loses client IPs — breaks rate limiting and accurate logging |
| MEDIUM | Controller ConfigMap is empty — no TLS hardening, HSTS, or server-token suppression |
| LOW | `terminationGracePeriodSeconds: 0` makes the `/wait-shutdown` preStop hook a no-op |
| LOW | No NetworkPolicy in either namespace |
| LOW | `curl-test` pod has no securityContext, automounts SA token |
